loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientation(Z),state(N)
2017-10-29 14:06:17.093 -0500,21,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303976.000093,38.57582379601763,-90.15866858893088,125.8942,0,128.671875,3,5,-9999,1509303976.174479,3.305461883544922,-51.86541748046875,-31.4908447265625,182.5870208740234,184.1356658935547,40,96727.65956379168,0.2345733642578125,0.1105804443359375,-1.009307861328125,96726.96014700001,0.01350302567502876,0.1395983769681005,0.01637631017511525,96722.1207655,stationary,0,2017-10-29 14:06:11.527 -0500,null,0,0,0,0,null,96723.98149400001,0,1.250473,99.59323,5,0
2017-10-29 14:06:18.073 -0500,22,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303977.000093,38.57582379601763,-90.15866858893088,125.7619,0,128.671875,3,5,-9999,1509303977.193351,3.681133270263672,-51.71630859375,-31.03912353515625,182.6393127441406,184.1879577636719,40,96728.669060375,0.359100341796875,0.0630645751953125,-0.928558349609375,96727.96919479167,0.003216832280706712,-0.007448595252842622,3.382214584400633e-05,96727.93867679167,unknown,2,2017-10-29 14:06:17.342 -0500,null,0,0,0,0,null,96725.018983,0,1.318283,99.59243,5,0
2017-10-29 14:06:19.092 -0500,23,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303979.000093,38.57582379601763,-90.15866858893088,125.9225,0,128.671875,3,5,-9999,1509303978.212349,4.130672454833984,-51.71810913085938,-31.93646240234375,182.6678924560547,184.2165374755859,40,96729.67857725,0.3452606201171875,0.082244873046875,-0.9766998291015625,96728.97820337501,-0.02237401526608271,0.0009978864604526906,-0.006706638573146546,96727.93867679167,unknown,2,2017-10-29 14:06:17.342 -0500,null,0,0,0,0,null,96726.057594,0,1.331024,99.59228,5,0
2017-10-29 14:06:20.092 -0500,24,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303979.000093,38.57582379601763,-90.15866858893088,125.9225,0,128.671875,3,5,-9999,1509303979.231576,3.230159759521484,-51.94026184082031,-31.64105224609375,182.7044525146484,184.2530975341797,40,96730.688035375,0.3529815673828125,0.064300537109375,-0.9739837646484375,96729.98723125001,-0.02243739850002659,0.1095754967352012,-0.02151807529173124,96727.93867679167,unknown,2,2017-10-29 14:06:17.342 -0500,null,0,0,0,0,null,96727.094912,0,1.331024,99.59228,5,0
2017-10-29 14:06:21.102 -0500,25,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303979.000093,38.57582379601763,-90.15866858893088,125.9225,0,128.671875,3,5,-9999,1509303980.250278,3.981090545654297,-51.64247131347656,-31.5626220703125,182.7313079833984,184.2799530029297,40,96731.697502875,0.3391876220703125,0.144866943359375,-0.9172210693359375,96730.99626337501,-0.005637645711588739,0.09270011017180514,0.01605886137317781,96727.93867679167,unknown,2,2017-10-29 14:06:17.342 -0500,null,0,0,0,0,null,96728.13321,0,1.331024,99.59228,5,0
2017-10-29 14:06:22.130 -0500,26,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303980.999948,38.57582379601763,-90.15866858893088,125.9547,0,128.671875,3,5,-9999,1509303981.269305,3.156963348388672,-51.48960876464844,-30.7430419921875,182.7118377685547,184.2604827880859,40,96732.70697929167,0.457122802734375,0.04022216796875,-0.9885101318359375,96732.005303875,0.01362899319458951,0.08314229133561978,0.01310275256318985,96727.93867679167,unknown,2,2017-10-29 14:06:17.342 -0500,null,0,0,0,0,null,96729.172035,0,1.358551,99.59195,5,0
2017-10-29 14:06:23.120 -0500,27,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303982.999947,38.57582379601763,-90.15866858893088,125.9023,0,128.671875,3,5,-9999,1509303982.288324,4.055828094482422,-51.71772766113281,-31.63690185546875,182.4944152832031,184.0430603027344,40,96733.71655875001,0.361663818359375,0.0806121826171875,-0.956024169921875,96733.01432129167,-0.01612757092930185,1.278317323238034e-05,0.01259621932385678,96733.10434829167,unknown,2,2017-10-29 14:06:22.511 -0500,null,0,0,0,0,null,96730.20955699999,0,1.406479,99.59138,5,0
2017-10-29 14:06:24.134 -0500,28,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303983.999947,38.57582379601763,-90.15866858893088,125.9928,0,128.671875,3,5,-9999,1509303983.307495,3.680644989013672,-51.79156494140625,-31.56390380859375,182.4798126220703,184.0284576416016,40,96734.72623837501,0.3055877685546875,0.08123779296875,-0.99176025390625,96734.02332175001,0.01064279066428366,0.005357481164912404,0.003353452444627777,96733.10434829167,unknown,2,2017-10-29 14:06:22.511 -0500,null,0,0,0,0,null,96731.248464,0,1.406479,99.59138,5,0
2017-10-29 14:06:25.163 -0500,29,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303983.999947,38.57582379601763,-90.15866858893088,125.9928,0,128.671875,3,5,-9999,1509303984.326371,3.831996917724609,-51.342041015625,-31.5645751953125,182.4611206054688,184.009765625,40,96735.73595679167,0.387908935546875,0.100799560546875,-0.87786865234375,96735.03232937501,-0.01072428339364008,0.03085991176351119,-0.001172856144070897,96733.10434829167,unknown,2,2017-10-29 14:06:22.511 -0500,null,0,0,0,0,null,96732.28585299999,0,1.408005,99.59137,5,0
2017-10-29 14:06:26.150 -0500,30,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303985.999947,38.57582379601763,-90.15866858893088,126.0413,0,128.671875,3,5,-9999,1509303985.345416,3.382366180419922,-51.19076538085938,-31.71771240234375,182.4172515869141,183.9658966064453,40,96736.74578075,0.4048919677734375,0.0152435302734375,-0.956573486328125,96736.04131579168,0.003119360584809812,0.02238999423262318,0.005409412806168949,96733.10434829167,unknown,2,2017-10-29 14:06:22.511 -0500,null,0,0,0,0,null,96733.32367899999,0,1.410553,99.59134,5,0
2017-10-29 14:06:27.184 -0500,31,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303985.999947,38.57582379601763,-90.15866858893088,126.0413,0,128.671875,3,5,-9999,1509303986.365813,3.532100677490234,-51.26625061035156,-31.79156494140625,182.3812255859375,183.9298706054688,40,96737.75561637501,0.333984375,0.099700927734375,-0.893096923828125,96737.05031575001,-0.01397413887186378,0.01065211172809894,0.008367652145028966,96733.10434829167,unknown,2,2017-10-29 14:06:22.511 -0500,null,0,0,0,0,null,96734.36051100001,0,1.437057,99.59103,5,0
2017-10-29 14:06:28.169 -0500,32,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303987.999948,38.57582379601763,-90.15866858893088,125.8393,0,128.671875,3,5,-9999,1509303987.383197,4.132518768310547,-51.19287109375,-31.41326904296875,182.4447784423828,183.9934234619141,40,96738.76538875001,0.238250732421875,0.0588226318359375,-0.9375152587890625,96738.05932637501,0.01063293696825037,0.02132499611270049,0.001238103590777838,96733.10434829167,unknown,2,2017-10-29 14:06:22.511 -0500,null,0,0,0,0,null,96735.397629,0,1.481934,99.59049,5,0
2017-10-29 14:06:29.179 -0500,33,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303987.999948,38.57582379601763,-90.15866858893088,125.8393,0,128.671875,3,5,-9999,1509303988.402076,3.681545257568359,-51.49159240722656,-31.56494140625,182.5794525146484,184.1280975341797,40,96739.77516775001,0.2954864501953125,0.06146240234375,-0.9302215576171875,96739.06830675001,-0.03202051736656772,0.05207625090373644,-0.01317812002203909,96739.24378275001,unknown,2,2017-10-29 14:06:28.650 -0500,null,0,0,0,0,null,96736.436363,0,1.535461,99.58986,5,0
2017-10-29 14:06:30.215 -0500,34,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303989.999948,38.57582379601763,-90.15866858893088,125.9345,0,128.671875,3,5,-9999,1509303989.421454,3.831432342529297,-51.49215698242188,-31.78900146484375,182.5422515869141,184.0908966064453,40,96740.78480762501,0.319793701171875,0.127410888671875,-0.927520751953125,96740.07732275,-0.0138236702702743,-0.02878637453877549,-0.001290567864252399,96739.24378275001,unknown,2,2017-10-29 14:06:28.650 -0500,null,0,0,0,0,null,96737.473058,0,1.535461,99.58986,5,0
2017-10-29 14:06:31.198 -0500,35,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303989.999948,38.57582379601763,-90.15866858893088,125.9345,0,128.671875,3,5,-9999,1509303990.440912,3.832103729248047,-51.26715087890625,-31.789794921875,182.2387237548828,183.7873687744141,40,96741.79439441668,0.36602783203125,0.0786895751953125,-0.9086151123046875,96741.086321625,0.01276692794973086,0.0223942552903673,0.001268197311095733,96739.24378275001,unknown,2,2017-10-29 14:06:28.650 -0500,null,0,0,0,0,null,96738.510958,0,1.499771,99.59028,5,0
2017-10-29 14:06:32.214 -0500,36,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303991.999948,38.57582379601763,-90.15866858893088,125.7762,0,-1,3,5,-9999,1509303991.459508,3.831615447998047,-51.49197387695312,-31.41400146484375,182.2049255371094,183.7535705566406,40,96742.804013375,0.274810791015625,0.096588134765625,-0.8986358642578125,96742.09532841668,0.004247209306458369,0.01917475984857052,-0.0009861685516563419,96742.79760437501,unknown,2,2017-10-29 14:06:32.204 -0500,null,0,0,0,0,null,96739.55051299999,0,1.458481,99.59077,5,0
2017-10-29 14:06:33.256 -0500,37,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303992.999948,38.57582379601763,-90.15866858893088,125.9405,0,-1,3,5,-9999,1509303992.478533,2.931697845458984,-51.48919677734375,-31.26947021484375,182.2159271240234,183.7645721435547,40,96743.81366229168,0.3059539794921875,0.0682220458984375,-0.9444732666015625,96743.104305375,-0.01705035624701431,0.0669974098592324,-0.01829644932106238,96742.79760437501,unknown,2,2017-10-29 14:06:32.204 -0500,null,0,0,0,0,null,96740.58717,0,1.412079,99.59132,5,0
