loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientation(Z),label(N)
2018-10-15 18:46:15.865 -0500,7288,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647174.964546,38.66252557378137,-90.6477725879202,138.6083,0,72.7734375,4,5,-9999,1539647175.639692,20.77066802978516,7.315235137939453,-46.49761962890625,259.8548889160156,261.135009765625,20,220002.993618375,0.0147857666015625,0.215087890625,-0.9716796875,220002.728535625,-0.008581237664453321,0.03192544251565189,-0.002210423704765768,220001.1268982917,automotive,2,2018-10-15 18:46:14.052 -0500,219999.615866,0,1.839054,100.7864,5,0
2018-10-15 18:46:16.459 -0500,7289,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647175.964506,38.66252557378137,-90.6477725879202,138.5639,0,72.7734375,4,5,-9999,1539647176.358956,20.92006683349609,7.089862823486328,-46.34600830078125,259.8591613769531,261.1392822265625,20,220003.588284375,0.016815185546875,0.2164764404296875,-0.9681854248046875,220003.397366375,-0.007526093240563927,0.03406129770989544,-0.001125718192776494,220001.1268982917,automotive,2,2018-10-15 18:46:14.052 -0500,220000.653655,0,1.841694,100.7863,5,0
2018-10-15 18:46:17.058 -0500,7290,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647175.964506,38.66252557378137,-90.6477725879202,138.5639,0,72.7734375,4,5,-9999,1539647176.718746,20.69446563720703,6.865604400634766,-46.196533203125,259.8563537597656,261.136474609375,20,220004.18297625,0.0134429931640625,0.21441650390625,-0.97467041015625,220004.06707025,-0.007527957453326983,0.03512629582981813,-0.001124386612231454,220001.1268982917,automotive,2,2018-10-15 18:46:14.052 -0500,220000.653655,0,1.841694,100.7863,5,0
2018-10-15 18:46:17.648 -0500,7291,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647176.964465,38.66252557378137,-90.6477725879202,138.6659,0,72.7734375,4,5,-9999,1539647177.437598,20.54499053955078,7.090900421142578,-46.49822998046875,259.8614501953125,261.1415710449219,20,220004.77761125,0.017608642578125,0.2137603759765625,-0.972900390625,220004.73595525,-0.00859934715986586,0.03193289936670411,-7.510114274023452e-05,220001.1268982917,automotive,2,2018-10-15 18:46:14.052 -0500,220001.690822,0,1.846981,100.7863,5,0
2018-10-15 18:46:18.258 -0500,7292,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647177.964423,38.66252557378137,-90.6477725879202,138.582,0,72.7734375,4,5,-9999,1539647178.156752,20.61946868896484,6.865818023681641,-46.197021484375,259.8583679199219,261.1384887695312,20,220005.3722235,0.0148162841796875,0.215179443359375,-0.9777679443359375,220005.0707705,-0.004309527275966223,0.03193396463114014,-0.002152899425220056,220001.1268982917,automotive,2,2018-10-15 18:46:14.052 -0500,220001.690822,0,1.846981,100.7863,5,0
2018-10-15 18:46:18.837 -0500,7293,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647177.964423,38.66252557378137,-90.6477725879202,138.582,0,72.7734375,4,5,-9999,1539647178.516289,20.61919403076172,6.790790557861328,-46.271728515625,259.8544921875,261.1346130371094,20,220005.9668255,0.0129547119140625,0.201263427734375,-0.9720458984375,220005.7405395,-0.003236539672773298,0.0393836251484188,-0.004264519853543884,220001.1268982917,automotive,2,2018-10-15 18:46:14.052 -0500,220002.727419,0,1.846981,100.7863,5,0
2018-10-15 18:46:19.435 -0500,7294,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647178.964383,38.66252557378137,-90.6477725879202,138.5786,0,72.7734375,4,5,-9999,1539647179.235367,21.07036590576172,7.164478302001953,-46.1953125,259.8428344726562,261.1229553222656,20,220006.5614295,0.015716552734375,0.215850830078125,-0.977508544921875,220006.4093605,-0.004344414686246262,0.04152640456149655,-5.5926382891664e-06,220006.3050215,automotive,2,2018-10-15 18:46:19.230 -0500,220003.763763,0,1.846981,100.7863,5,0
2018-10-15 18:46:20.026 -0500,7295,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647178.964383,38.66252557378137,-90.6477725879202,138.5786,0,72.7734375,4,5,-9999,1539647179.954208,20.77066802978516,7.240451812744141,-46.04736328125,259.9468688964844,261.2269897460938,20,220007.156021,0.0145111083984375,0.2137603759765625,-0.9753570556640625,220007.078171,-0.01394644199652696,0.03618223920203455,-0.0001416801699922155,220006.3050215,automotive,2,2018-10-15 18:46:19.230 -0500,220003.763763,0,1.846981,100.7863,5,0
2018-10-15 18:46:20.621 -0500,7296,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647179.964341,38.66252557378137,-90.6477725879202,138.649,0,72.7734375,4,5,-9999,1539647180.315002,20.62148284912109,7.466053009033203,-45.74908447265625,259.86279296875,261.1429138183594,20,220007.750626,0.01922607421875,0.2158050537109375,-0.9716949462890625,220007.413071,-0.006509032020262666,0.03727706472616612,0.004230964023808886,220006.3050215,automotive,2,2018-10-15 18:46:19.230 -0500,220004.80028,0,1.844337,100.7863,5,0
2018-10-15 18:46:21.215 -0500,7297,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1539647180.964301,38.66252557378137,-90.6477725879202,138.6618,0,72.7734375,4,5,-9999,1539647181.032883,20.47254180908203,7.841419219970703,-45.90130615234375,259.9164123535156,261.196533203125,20,220008.345178625,0.0197906494140625,0.213531494140625,-0.9768524169921875,220008.082818625,-0.008587096618851495,0.04044169904950728,-0.003267432341418217,220007.922174625,automotive,0,2018-10-15 18:46:20.847 -0500,220004.80028,0,1.844337,100.7863,5,0
